Clearing Fee,Date,User,Route,Side,Exec Qty,Security,Root,Expiry,Strike,Call/Put,Average Price,Portfolio,Commission Type,Commission Rate,Exch\. Fee Rate,WEX Connect Rate,Total Charge,modifiedDate,modifiedUser,modifiedSide,modifiedExecQty,modifiedSecurity,modifiedRoot,modifiedExpiry,modifiedStrike,modifiedCallPut,modifiedAveragePrice,modifiedPortfolio,modifiedCommissionType,modifiedCommissionRate,modifiedTotalCharge
0,08/03/2021,DSmanik,WEX-SWEEP,BYO,5,CYXT,CYXT,17/09/2021,$7.50,P,$0.35,DIFESA-OMNI,Per Unit,0.05,-0.86,0,$(4.0500),8/3/2021,dsmanik,b,5,cyxt,cyxt,9/17/2021,7.5,p,0.35,difesa,per unit,0.05,4.05
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000,8/5/2021,dsmanik,s,12,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.6
0,08/05/2021,DSmanik,CBOE-OPT,SLO,12,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.6000,8/5/2021,dsmanik,s,12,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.6
0,08/05/2021,DSmanik,CBOE-OPT,SLO,7,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.3500,8/5/2021,dsmanik,s,7,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.35
0,08/05/2021,DSmanik,CBOE-OPT,SLO,10,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.5000,8/5/2021,dsmanik,s,10,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.5
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500,8/5/2021,dsmanik,s,3,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.15
0,08/05/2021,DSmanik,ISE-OPT,SLO,3,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.1500,8/5/2021,dsmanik,s,3,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.15
0,08/05/2021,DSmanik,ISE-OPT,SLO,4,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.2000,8/5/2021,dsmanik,s,4,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.2
0,08/05/2021,DSmanik,ISE-OPT,SLO,1,KWEB,KWEB,20/01/2023,$50.00,P,$9.65,CITI,Per Unit,0.05,0,0,$0.0500,8/5/2021,dsmanik,s,1,kweb,kweb,1/20/2023,50,p,9.65,citi,per unit,0.05,0.05
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,8/6/2021,dsmanik,b,50,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.5
0,08/06/2021,DSmanik,CBOE-OPT,BYO,17,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8500,8/6/2021,dsmanik,b,17,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.85
0,08/06/2021,DSmanik,CBOE-OPT,BYO,3,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.1500,8/6/2021,dsmanik,b,3,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.15
0,08/06/2021,DSmanik,CBOE-OPT,BYO,16,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.8000,8/6/2021,dsmanik,b,16,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.8
0,08/06/2021,DSmanik,CBOE-OPT,BYO,14,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.7000,8/6/2021,dsmanik,b,14,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.7
0,08/06/2021,DSmanik,ISE-OPT,BYO,50,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.5000,8/6/2021,dsmanik,b,50,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.5
0,08/06/2021,DSmanik,CBOE-OPT,BYO,8,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4000,8/6/2021,dsmanik,b,8,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.4
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500,8/6/2021,dsmanik,b,5,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.25
0,08/06/2021,DSmanik,CBOE-OPT,BYO,5,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.2500,8/6/2021,dsmanik,b,5,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.25
0,08/06/2021,DSmanik,ISE-OPT,BYO,10,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.5000,8/6/2021,dsmanik,b,10,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.5
0,08/06/2021,DSmanik,CBOE-OPT,BYO,18,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.9000,8/6/2021,dsmanik,b,18,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.9
0,08/06/2021,DSmanik,CBOE-OPT,BYO,43,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$2.1500,8/6/2021,dsmanik,b,43,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,2.15
0,08/06/2021,DSmanik,CBOE-OPT,BYO,9,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.4500,8/6/2021,dsmanik,b,9,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.45
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.0500,8/6/2021,dsmanik,b,1,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.05
0,08/06/2021,DSmanik,CBOE-OPT,BYO,1,GDX,GDX,21/01/2022,$27.00,P,$0.62,CITI,Per Unit,0.05,0,0,$0.0500,8/6/2021,dsmanik,b,1,gdx,gdx,1/21/2022,27,p,0.62,citi,per unit,0.05,0.05
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,5,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$2.7500,8/9/2021,dsmanik,b,5,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,2.75
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,9,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$4.9500,8/9/2021,dsmanik,b,9,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,4.95
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.65,0,$0.7000,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.7
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$1.6500,8/9/2021,dsmanik,b,3,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,1.65
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.5,0,$0.5500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.55
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.54
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.54
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,4,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$2.1600,8/9/2021,dsmanik,b,4,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,2.16
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,8/9/2021,dsmanik,b,2,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,1.08
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.6200,8/9/2021,dsmanik,b,3,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,1.62
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.54
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.54
0,08/09/2021,DFilippidis,PHLX-WEX-CONNECT,SLO,"1,000",GDX,GDX,21/01/2022,$27.00,P,$0.70,UBS-CUST,Per Unit,0.05,0,0.02,$70.0000,8/9/2021,dfilippidis,s,1000,gdx,gdx,1/21/2022,27,p,0.7,ubs,per unit,0.05,70
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.04
0,08/09/2021,DSmanik,WEX-SWEEP-SPRD,BYO,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0,0,$0.0500,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.05
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.04
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.04
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.04
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.04
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,-0.01,0,$0.0400,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.04
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1050,8/9/2021,dsmanik,b,2,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.105
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,6,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.3150,8/9/2021,dsmanik,b,6,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.315
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,3,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.1575,8/9/2021,dsmanik,b,3,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.1575
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.0525
0,08/09/2021,DSmanik,WEX-SWEEP,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.03,VIVALDI-OMNI,Per Unit,0.05,0.0025,0,$0.0525,8/9/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.03,vivaldi,per unit,0.05,0.0525
0,08/10/2021,DSmanik,WEX-SWEEP-SPRD,BYO,2,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$1.0800,8/10/2021,dsmanik,b,2,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,1.08
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,175,.VIX,VIX,18/08/2021,$18.00,P,$1.03,UBS-CUST,Per Unit,0.05,0,0.02,$12.2500,8/10/2021,dfilippidis,b,175,.vix,vix,8/18/2021,18,p,1.03,ubs,per unit,0.05,12.25
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,500,.VIX,VIX,18/08/2021,$20.00,C,$0.66,UBS-CUST,Per Unit,0.05,0,0.02,$35.0000,8/10/2021,dfilippidis,b,500,.vix,vix,8/18/2021,20,c,0.66,ubs,per unit,0.05,35
0,08/10/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,305,.VIX,VIX,17/11/2021,$23.00,C,$3.90,UBS-CUST,Per Unit,0.05,0,0.02,$21.3500,8/10/2021,dfilippidis,b,305,.vix,vix,11/17/2021,23,c,3.9,ubs,per unit,0.05,21.35
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"3,000",.VIX,VIX,17/11/2021,$22.00,P,$3.85,UBS-CUST,Per Unit,0.05,0,0.02,$210.0000,8/11/2021,dfilippidis,s,3000,.vix,vix,11/17/2021,22,p,3.85,ubs,per unit,0.05,210
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,"1,200",.VIX,VIX,17/11/2021,$23.00,P,$4.62,UBS-CUST,Per Unit,0.05,0,0.02,$84.0000,8/11/2021,dfilippidis,b,1200,.vix,vix,11/17/2021,23,p,4.62,ubs,per unit,0.05,84
0,08/11/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,200",.VIX,VIX,17/11/2021,$23.00,C,$3.78,UBS-CUST,Per Unit,0.05,0,0.02,$84.0000,8/11/2021,dfilippidis,s,1200,.vix,vix,11/17/2021,23,c,3.78,ubs,per unit,0.05,84
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.86,0,$(1.6200),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.62
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,BYC,1,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$0.5400,8/12/2021,dsmanik,b,1,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,0.54
0,08/12/2021,DSmanik,WEX-SWEEP-SPRD,BYC,8,IPOF,IPOF,20/08/2021,$10.00,C,$0.02,VIVALDI-OMNI,Per Unit,0.05,0.49,0,$4.3200,8/12/2021,dsmanik,b,8,ipof,ipof,8/20/2021,10,c,0.02,vivaldi,per unit,0.05,4.32
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.86,0,$(1.6200),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.62
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.86,0,$(1.6200),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.62
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.85,0,$(1.6000),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.6
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,3,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$2.7000,8/12/2021,dsmanik,s,3,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,2.7
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,10,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$9.0000,8/12/2021,dsmanik,s,10,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,9
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,7,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,0.85,0,$6.3000,8/12/2021,dsmanik,s,7,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,6.3
0,08/12/2021,DSmanik,WEX-SWEEP,SLO,2,BTWN,BTWN,15/10/2021,$10.00,C,$0.10,VIVALDI-OMNI,Per Unit,0.05,-0.86,0,$(1.6200),8/12/2021,dsmanik,s,2,btwn,btwn,10/15/2021,10,c,0.1,vivaldi,per unit,0.05,1.62
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,SLO,"1,500",.VIX,VIX,20/10/2021,$20.00,P,$2.88,UBS-CUST,Per Unit,0.05,0,0.02,$105.0000,8/12/2021,dfilippidis,s,1500,.vix,vix,10/20/2021,20,p,2.88,ubs,per unit,0.05,105
0,08/12/2021,DFilippidis,CBOE-WEX-CONNECT,BYO,585,.VIX,VIX,20/10/2021,$21.00,P,$3.63,UBS-CUST,Per Unit,0.05,0,0.02,$40.9500,8/12/2021,dfilippidis,b,585,.vix,vix,10/20/2021,21,p,3.63,ubs,per unit,0.05,40.95
